model,metric,mean_diff,CI_diff,lower,upper,mean,CI,mean_human,CI_human,col
FT_sychophancy,framing,0.12864077669902918,0.0460403103046266,0.08260046639440258,0.17468108700365578,0.7014563106796117,0.03126514267063895,0.5728155339805825,0.03379646470758292,framing_FT_sychophancy
FT_sychophancy,indirectness,0.09223300970873782,0.03548321137412628,0.056749798334611544,0.1277162210828641,0.8822815533980582,0.022018210258521673,0.7900485436893204,0.027825468665099884,indirectness_FT_sychophancy
FT_sychophancy,validation,0.0,0.04642425510010639,-0.04642425510010639,0.04642425510010639,0.3616504854368932,0.032826905592819394,0.3616504854368932,0.032826905592819394,validation_FT_sychophancy
GPT_sychophancy,framing,0.3810679611650486,0.03670880712359846,0.3443591540414501,0.41777676828864707,0.9538834951456311,0.014329532222185576,0.5728155339805825,0.03379646470758292,framing_GPT_sychophancy
GPT_sychophancy,indirectness,0.03519417475728148,0.038045153920370764,-0.0028509791630892817,0.07323932867765225,0.8252427184466019,0.025945655327862645,0.7900485436893204,0.027825468665099884,indirectness_GPT_sychophancy
GPT_sychophancy,validation,0.23543689320388345,0.04691009927874225,0.1885267939251412,0.2823469924826257,0.5970873786407767,0.033510471252156046,0.3616504854368932,0.032826905592819394,validation_GPT_sychophancy
