model,metric,mean,CI,col
Human_sychophancy,validation,0.3616504854368932,0.032826905592819394,validation_Human_sychophancy
Human_sychophancy,indirectness,0.7900485436893204,0.027825468665099884,indirectness_Human_sychophancy
Human_sychophancy,framing,0.5728155339805825,0.03379646470758292,framing_Human_sychophancy
GPT_sychophancy,validation,0.5970873786407767,0.033510471252156046,validation_GPT_sychophancy
GPT_sychophancy,indirectness,0.8252427184466019,0.025945655327862645,indirectness_GPT_sychophancy
GPT_sychophancy,framing,0.9538834951456311,0.014329532222185576,framing_GPT_sychophancy
FT_sychophancy,validation,0.3616504854368932,0.032826905592819394,validation_FT_sychophancy
FT_sychophancy,indirectness,0.8822815533980582,0.022018210258521673,indirectness_FT_sychophancy
FT_sychophancy,framing,0.7014563106796117,0.03126514267063895,framing_FT_sychophancy
