ID,Context_word_count,Human_response_word_count,FT_response_word_count,GPT_response_word_count
context_264,68,111,164,130
context_265,53,95,164,111
context_266,85,38,160,154
context_267,49,168,168,152
context_268,82,295,161,143
context_269,27,183,166,152
context_270,59,375,154,136
context_271,30,132,151,115
context_272,73,129,165,84
context_273,54,106,160,95
context_274,51,147,151,120
context_275,60,133,165,110
context_276,34,200,102,105
context_277,130,225,153,133
context_278,31,282,152,155
context_279,82,387,170,151
context_280,69,77,174,152
context_281,51,224,152,95
context_282,48,90,140,154
context_283,77,104,118,146
context_284,88,337,164,136
context_285,79,51,158,150
context_286,36,307,154,97
context_287,21,254,98,141
context_288,78,136,170,156
context_289,52,134,158,146
context_290,68,470,155,157
context_291,46,441,154,145
context_292,50,41,148,151
context_293,72,230,168,86
context_294,45,292,133,141
context_295,66,188,133,126
context_296,55,90,146,157
context_297,55,31,136,144
context_298,40,110,152,157
context_299,65,281,162,92
context_300,212,540,158,161
context_301,22,50,148,138
context_302,17,386,153,132
context_303,70,116,128,132
context_304,31,110,173,65
context_305,72,441,154,152
context_306,78,141,151,155
context_307,33,137,124,142
context_308,104,85,160,157
context_309,35,164,160,88
context_310,51,463,154,157
context_311,56,322,140,149
context_312,70,157,154,160
context_313,77,296,147,153
context_314,49,168,162,109
context_315,111,489,154,121
context_316,66,187,167,135
context_317,82,141,170,122
context_318,77,190,109,101
context_319,67,190,161,98
context_320,69,263,158,139
context_321,117,189,134,158
context_322,37,358,149,153
context_323,78,127,157,136
context_324,15,107,167,148
context_325,50,125,161,130
context_326,66,145,132,149
context_327,49,161,139,135
context_328,82,323,164,149
context_329,44,84,162,127
context_330,21,176,120,76
context_331,14,89,163,91
context_332,14,163,153,150
context_333,24,121,151,98
context_334,232,318,166,128
context_335,57,141,137,141
context_336,73,248,157,148
context_337,72,151,115,77
context_338,28,227,149,149
context_339,280,190,140,146
context_340,68,92,115,145
context_341,222,148,148,156
context_342,41,230,145,117
context_343,22,168,124,85
context_344,28,386,156,148
context_345,20,64,150,87
context_346,26,218,155,50
context_347,44,162,102,100
context_348,102,264,159,99
context_349,46,256,139,72
context_350,64,62,126,100
context_351,180,87,105,106
context_352,79,194,153,155
context_353,80,53,147,112
context_354,52,54,127,102
context_355,86,210,136,109
context_356,53,78,97,79
context_357,329,126,160,176
context_358,207,85,175,152
context_359,50,99,169,116
context_360,31,100,162,146
context_361,75,62,160,130
context_362,79,177,161,119
context_363,125,134,166,134
context_364,57,330,163,111
context_365,92,161,158,134
context_366,114,113,153,148
context_367,71,284,127,117
context_368,73,79,153,102
context_369,70,409,154,155
context_370,209,121,151,109
context_371,19,164,117,71
context_372,190,178,102,133
context_373,67,165,150,147
context_374,26,193,159,102
context_375,30,140,136,78
context_376,71,494,165,156
context_377,57,282,172,117
context_378,83,260,169,108
context_379,106,302,163,131
context_380,47,215,132,119
context_381,64,223,147,157
context_382,36,330,119,97
context_383,88,276,99,84
context_384,63,120,167,109
context_385,55,275,161,108
context_386,87,183,152,132
context_387,171,194,153,162
context_388,64,157,168,76
context_389,79,98,168,103
context_390,81,184,96,83
context_391,87,114,169,152
context_392,55,302,159,121
context_393,103,424,112,131
context_394,33,186,79,70
context_395,91,167,152,98
context_396,79,117,156,161
context_397,28,61,152,72
context_398,104,131,148,133
context_399,112,250,161,165
context_400,47,251,168,73
context_401,97,35,153,155
context_402,25,45,154,85
context_403,122,37,163,155
context_404,43,107,161,141
context_405,46,334,160,69
context_406,38,80,89,68
context_407,88,152,166,152
context_408,175,373,167,157
context_409,121,169,151,131
context_410,29,348,135,147
context_411,158,115,157,158
context_412,196,100,143,130
context_413,39,281,130,113
context_414,85,197,169,88
context_415,70,180,119,102
context_416,50,316,121,142
context_417,109,217,163,121
context_418,28,122,120,89
context_419,62,263,168,118
context_420,74,84,167,89
context_421,41,172,163,100
context_422,34,183,177,65
context_423,93,193,159,84
context_424,37,46,138,90
context_425,51,461,142,97
context_426,22,463,135,100
context_427,276,350,145,155
context_428,197,246,151,150
context_429,39,161,151,149
context_430,91,373,119,114
context_431,58,122,85,144
context_432,71,97,164,115
context_433,38,97,160,75
context_434,30,148,140,102
context_435,70,234,102,177
context_436,53,90,154,69
context_437,114,213,162,111
context_438,67,134,149,98
context_439,56,177,138,116
context_440,57,80,156,84
context_441,95,238,160,96
context_442,54,69,154,84
context_443,81,132,128,161
context_444,44,23,180,94
context_445,36,191,101,87
context_446,64,207,164,154
context_447,65,82,109,92
context_448,75,478,142,121
context_449,17,54,158,137
context_450,91,202,155,61
context_451,132,255,151,113
context_452,99,180,169,102
